Station_ID, Name, Latitude, Longitude, Elevation (ft), Date_Time (UTC),Peak_Wind Direction (Degrees), Peak_Wind Speed (mph), Wind Direction 10m (deg), Wind Gust 10m (kn), Wind Speed 10m (kn), 
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T15:00:00Z,null,null,220,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T15:05:00Z,null,null,220,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T15:10:00Z,null,null,230,18,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T15:15:00Z,null,null,210,,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T15:20:00Z,null,null,230,,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T15:25:00Z,null,null,220,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T15:30:00Z,null,null,210,,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T15:35:00Z,null,null,220,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T15:40:00Z,null,null,210,15,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T15:45:00Z,null,null,220,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T15:50:00Z,null,null,220,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T15:51:00Z,null,null,230,18,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T15:55:00Z,null,null,230,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T16:00:00Z,null,null,200,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T16:05:00Z,null,null,220,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T16:10:00Z,null,null,210,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T16:15:00Z,null,null,210,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T16:20:00Z,null,null,190,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T16:25:00Z,null,null,210,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T16:30:00Z,null,null,200,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T16:35:00Z,null,null,200,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T16:40:00Z,null,null,190,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T16:45:00Z,null,null,180,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T16:50:00Z,null,null,210,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T16:51:00Z,null,null,,17,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T16:55:00Z,null,null,210,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T17:00:00Z,null,null,170,,8,
